"","event_id_cnty","event_date","year","time_precision","disorder_type","event_type","sub_event_type","actor1","assoc_actor_1","inter1","actor2","assoc_actor_2","inter2","interaction","civilian_targeting","iso","region","country","admin1","admin2","admin3","location","geo_precision","source","source_scale","notes","fatalities","tags","timestamp","FID","geometry"
"4629","KEN9702","2022-12-03",2022,2,"Political violence","Violence against civilians","Attack","UNIDENTIFIED COMMUNAL MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Marsabit","Laisamis","Laisamis","Laisamis",2,"Star (Kenya)","National","AROUND 3 DECEMBER 2022 (WEEKEND OF), UNIDENTIFIED ARMED MILITIA RAIDED KITURUNI AND ILPUS VILLAGES IN LAISAMIS [CODED AS LAISAMIS, LAISAMIS, MARSABIT], SHOT AND INJURED ONE HERDER BEFORE MAKING AWAY WITH OVER 180 COWS. POLICE LATER RECOVERED 110 OF THE STOLEN COWS.",0,"",1670859656,207,c(37.8, 1.6)
"4768","KEN9655","2022-11-28",2022,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","AL SHABAAB","",2,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,27,"Civilian targeting",404,"Eastern Africa","Kenya","Mandera","Mandera South","Kotulo","Daba Siti",1,"Kenya Standard","National","ON 28 NOVEMBER 2022, AN EXPLOSIVE DEVICE BY SUSPECTED AL SHABAAB DETONATED, INJURING TWO HERDERS (MINORS) AT DABACITY [CODED AS DABA SITI, MANDERA SOUTH, MANDERA], AFTER THE HERDERS TINKERED WITH IT.",0,"",1670255295,214,c(40.8863, 2.6106)
"4793","KEN9669","2022-11-27",2022,2,"Political violence","Violence against civilians","Attack","SAMBURU ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu East","Wamba North","Kalepo Camp",1,"Star (Kenya)","National","AROUND 27 NOVEMBER 2022 (AS REPORTED), SUSPECTED ARMED SAMBURU HERDERS ATTACKED KALEPO CAMP (SAMBURU EAST, SAMBURU). CASUALTIES UNKNOWN.",0,"",1670255295,216,c(37.3193, 1.381)
"4911","KEN9654","2022-11-23",2022,1,"Political violence","Violence against civilians","Abduction/forced disappearance","AL SHABAAB","",2,"CIVILIANS (KENYA)","GOVERNMENT OF KENYA (2022-); PASTORALISTS (KENYA)",7,27,"Civilian targeting",404,"Eastern Africa","Kenya","Mandera","Mandera South","Elwak North","El Wak",2,"Daily Nation (Kenya); Star (Kenya)","National","ON 23 NOVEMBER 2022, THREE SUSPECTED AL SHABAAB ABDUCTED A HERDER NEAR THE KENYA-SOMALIA BORDER [CODED AS EL WAK, MANDERA SOUTH, MANDERA], FOR ALLEGEDLY BEING A GOVERNMENT INFORMER. HE WAS FOUND AT BOREHOLE 11 ON 29 NOVEMBER 29 AFTER HE HAD BEEN ABANDONED BY A CAR, WITH A CHAIN ON HIS LEG.",0,"",1679360218,225,c(40.9358, 2.8094)
"5191","KEN10533","2022-11-14",2022,2,"Strategic developments","Strategic developments","Other","GOVERNMENT OF KENYA (2022-)","AZIMIO LA UMOJA ONE KENYA COALITION PARTY; JUBILEE PARTY",1,"CIVILIANS (KENYA)","PASTORALISTS (KENYA); POKOT ETHNIC GROUP (KENYA); SAMBURU ETHNIC GROUP (KENYA)",7,17,"",404,"Eastern Africa","Kenya","Laikipia","Laikipia North","Sosian","Naibor Amani",1,"K24","National","OTHER: AROUND 14 NOVEMBER 2022 (AS REPORTED), THE DEPUTY COUNTY COMMISSIONER (DCC), AREA MEMBER OF PARLIAMENT (JUBILEE) AND A FORMER NATIONAL ASSEMBLY SPEAKER LED PEACE TALKS BRINGING TOGETHER ELDERS FROM SAMBURU AND POKOT COMMUNITIES IN NAIBOR AMANI PRIMARY SCHOOL (LAIKIPIA NORTH, LAIKIPIA), FOLLOWING RECENT COMMUNAL CLASHES IN THE AREA, THAT LED TO THE KILLING OF TWO PEOPLE. [CODED SEPARATELY]",0,"",1679360211,237,c(36.679, 0.8147)
"5229","KEN10516","2022-11-13",2022,2,"Political violence","Battles","Armed clash","POKOT ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"POLICE FORCES OF KENYA (2013-) GENERAL SERVICE UNIT","POLICE FORCES OF KENYA (2022-) NATIONAL POLICE RESERVISTS",1,14,"",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Maralal","Lkuroto",2,"KTN News (Kenya); Opera News (Kenya)","National","AROUND 13 NOVEMBER 2022 (AS REPORTED), SUSPECTED POKOT MILITIA ATTACKED SIAMBU AND LOKORSUTI VILLAGES [CODED AS LKUROTO, SAMBURU CENTRAL, SAMBURU]. POLICE FROM THE GSU AND NPRS RESPONDED AND REPULSED THE ATTACKERS. ONE PERSON WAS WOUNDED, TWO COWS KILLED, AND THREE INJURED.",0,"",1679360211,239,c(36.7021, 1.0745)
"5300","KEN9558","2022-11-10",2022,1,"Political violence","Violence against civilians","Attack","POKOT ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","WOMEN (KENYA); PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Laikipia","Laikipia North","Sosian","Naibor Amani",1,"K24; Star (Kenya)","National","ON 10 NOVEMBER 2022, OVERNIGHT, SUSPECTED POKOT MILITIA KILLED A WOMAN BEFORE DRIVING OFF WITH 100 SHEEP AND GOATS IN NAIBOR AMANI (LAIKIPIA NORTH, LAIKIPIA).",1,"",1669047688,240,c(36.679, 0.8147)
"5334","KEN9583","2022-11-09",2022,2,"Political violence","Violence against civilians","Attack","BORANA ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Garissa","Lagdera","Benane","Benane",2,"Daily Nation (Kenya)","National","AROUND 9 NOVEMBER 2022 (WEEK OF), SUSPECTED BORANA MILITIA ATTACKED BAMBA NEAR BENANE (LAGDERA, GARISSA) AND MADE AWAY WITH 80 HEADS OF CAMELS.",0,"",1669047688,242,c(38.6667, 0.5)
"5335","KEN9582","2022-11-09",2022,2,"Political violence","Violence against civilians","Attack","BORANA ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Isiolo","Garbatulla","Sericho","Medina",2,"Daily Nation (Kenya)","National","AROUND 9 NOVEMBER 2022 (WEEK OF), SUSPECTED BORANA MILITIA ATTACKED MEDINA AND BULO [CODED AS MEDINA, LAGDERA, GARISSA] AND MADE AWAY WITH 300 HEADS OF GOATS AND SHEEP, INJURING UNKNOWN NUMBER OF LOCALS DURING THE INCIDENT.",0,"",1669047688,243,c(38.8313, 0.5904)
"5341","KEN9557","2022-11-09",2022,1,"Political violence","Battles","Armed clash","POKOT ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"POLICE FORCES OF KENYA (2022-)","",1,14,"",404,"Eastern Africa","Kenya","Samburu","Samburu North","Nachola","Suiyan",1,"K24; Star (Kenya)","National","ON 9 NOVEMBER 2022, THREE ARMED SUSPECTED POKOT MILITIA ATTACKED A POLICE OFFICER, IMMOBILIZING HIM, AT SUIYAN POLICE POST (SAMBURU NORTH, SAMBURU), BEFORE MAKING AWAY WITH 4 RIFLES, 200 BULLETS.",0,"",1679360218,244,c(36.7254, 1.7045)
"5372","KEN9579","2022-11-08",2022,2,"Political violence","Battles","Armed clash","POLICE FORCES OF KENYA (2022-)","",1,"UNIDENTIFIED COMMUNAL MILITIA (KENYA)","PASTORALISTS (KENYA)",4,14,"",404,"Eastern Africa","Kenya","Isiolo","Garbatulla","Garbatulla","Garba Tula",1,"Star (Kenya)","National","AROUND 8 NOVEMBER 2022 (AS REPORTED), POLICE OFFICERS CLASHED WITH AN UNIDENTIFIED MILITIA IN GARBATULA [CODED AS GARBA TULA, GARBATULLA, ISIOLO], AND RECOVERED 200 CAMELS AND 300 GOATS. NO FATALITIES.",0,"",1679360218,246,c(38.52, 0.5333)
"5381","KEN9555","2022-11-07",2022,1,"Political violence","Violence against civilians","Attack","POKOT ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Suguta Marmar","Suguta Marmar",2,"NTV (Kenya); Star (Kenya)","New media-National","ON 7 NOVEMBER 2022, SUSPECTED POKOT MILITIA ATTACKED AND INJURED AT LEAST ONE PERSON SAMBURU WEST CONSTITUENCY [CODED AS SUGUTA MARMAR, SAMBURU CENTRAL, SAMBURU], BEFORE MAKING AWAY WITH A FAMILY'S 200 AND GOATS AND SHEEP.",0,"",1668446884,247,c(36.4591, 0.902)
"5493","KEN9587","2022-11-04",2022,1,"Political violence","Violence against civilians","Attack","POKOT ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Maralal","Maralal",2,"NTV (Kenya)","New media","ON 4 NOVEMBER 2022, SUSPECTED POKOT MILITIA ATTACKED AND INJURED A PERSON, BEFORE MAKING AWAY WITH 370 GOATS IN SAMBURU WEST CONSTITUENCY [CODED AS MARALAL, SAMBURU CENTRAL, SAMBURU].",0,"",1669047688,251,c(36.698, 1.0968)
"5519","KEN9554","2022-11-03",2022,1,"Political violence","Violence against civilians","Attack","RENDILLES ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Isiolo","Merti","Chari","Dogo Gicha",2,"Daily Nation (Kenya); KTN News (Kenya)","National","ON 3 NOVEMBER 2022, SUSPECTED RENDILLES MILITIA SHOT DEAD TWO PEOPLE FERRYING LIVESTOCK FEED ON A MOTORBIKE ALONG THE MERTI- DOGO GICHA [CODED AS DOGO GICHA, MERTI, ISIOLO]. THE MOTIVE OF THE ATTACK REMAINS UNCLEAR.",2,"",1668446884,252,c(38.4838, 1.2181)
"5635","KEN9548","2022-10-29",2022,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","AL SHABAAB","",2,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,27,"Civilian targeting",404,"Eastern Africa","Kenya","Mandera","Mandera South","Wargadud","Wargadud",2,"Kenya Standard; Daily Nation (Kenya)","National","ON 29 OCTOBER 2022, AN UNEXPLODED ROCKET-PROPELLED GRENADE (RPG) FIRED BY SUSPECTED AL SHABAAB DETONATED, KILLING TWO HERDERS AT CORNER S SETTLEMENT, ALONG ELWAK WARGADUD ROAD [CODED AS WARGADUD, MANDERA SOUTH, MANDERA], AFTER CHILDREN TINKERED WITH IT.",2,"",1667850818,255,c(40.8677, 3.1863)
"6003","KEN10364","2022-10-18",2022,1,"Political violence","Violence against civilians","Attack","POKOT ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","LABOR GROUP (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Porro","Poro",1,"Citizen (Kenya); KTN News (Kenya)","National","ON 18 OCTOBER 2022, SUSPECTED POKOT MILITIA ATTACKED PORO VILLAGE (SAMBURU CENTRAL, SAMBURU). ONE PERSON WAS KILLED, TWO PEOPLE MISSING, ONE OF WHOM IS A STAFF ATTACHED TO THE AREA MEMBER OF PARLIAMENT (MP), AND MADE AWAY WITH GOODS OF UNKNOWN VALUE.",1,"",1676323319,260,c(36.5629, 1.2061)
"6039","KEN10363","2022-10-17",2022,1,"Political violence","Violence against civilians","Attack","POKOT ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Porro","Poro",1,"Kenya Broadcasting Corporation; Kenya Standard","National","ON 17 OCTOBER 2022, SUSPECTED POKOT MILITIA ATTACKED PORO VILLAGE (SAMBURU CENTRAL, SAMBURU). ONE PERSON WAS KILLED AND ANOTHER INJURED (SOME REPORTS MENTION SEVERAL INJURED) BEFORE THE GROUP MADE AWAY WITH OVER 80 COWS.",1,"",1676323319,262,c(36.5629, 1.2061)
"6376","KEN9498","2022-10-06",2022,2,"Political violence","Violence against civilians","Attack","UNIDENTIFIED COMMUNAL MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Marsabit","Laisamis","Kargi","Kargi",1,"Star (Kenya); Kenya Broadcasting Corporation","National","AROUND 6 OCTOBER 2022 (AS REPORTED), UNIDENTIFIED COMMUNAL MILITIA SHOT AND INJURED A BOY CHILD AT KARGI (LAISAMIS, MARSABIT) WHILE STEALING CATTLE.",0,"",1665519449,275,c(37.5776, 2.508)
"6432","KEN10739","2022-10-05",2022,1,"Political violence","Battles","Armed clash","UNIDENTIFIED COMMUNAL MILITIA (KENYA)","",4,"POLICE FORCES OF KENYA (2013-) GENERAL SERVICE UNIT","",1,14,"",404,"Eastern Africa","Kenya","Marsabit","Saku","Marsabit Central","Marsabit",1,"People Daily","National","ON 5 OCTOBER 2022, A GROUP OF SUSPECTED CATTLE RUSTLERS EXCHANGED FIRE WITH POLICE OFFICERS IN MARSABIT (MARSABIT CENTRAL, SAKU, MARSABIT). ONE RDU POLICE OFFICER WAS SHOT DEAD AND A GSU CHIEF INSPECTOR WAS SERIOUSLY INJURED.",1,"",1676323320,277,c(37.983, 2.333)
"6434","KEN9492","2022-10-05",2022,1,"Political violence","Battles","Armed clash","UNIDENTIFIED COMMUNAL MILITIA (KENYA)","",4,"POLICE FORCES OF KENYA (2022-)","",1,14,"",404,"Eastern Africa","Kenya","Marsabit","Saku","Sagante","Kubi Kalo",1,"Kenya Broadcasting Corporation; Star (Kenya)","National","ON 5 OCTOBER 2022, UNIDENTIFIED COMMUNAL MILITIA CLASHED WITH POLICE OFFICERS AT KUBI QALO [CODED AS KUBI KALO, SAKU, MARSABIT], DURING AN OPERATION TO RECOVER STOLEN LIVESTOCK [CODED SEPARATELY] . ONE OFFICER WAS KILLED, ANOTHER INJURED AND THE MILITIA SUFFERED UNKNOWN NUMBER OF FATALITIES DURING THE INCIDENT.",1,"",1679360217,278,c(38.0281, 2.2238)
"6491","KEN10231","2022-10-03",2022,1,"Strategic developments","Strategic developments","Looting/property destruction","UNIDENTIFIED COMMUNAL MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","",7,47,"",404,"Eastern Africa","Kenya","Marsabit","Laisamis","Laisamis","Laisamis",1,"Kenya Broadcasting Corporation","National","LOOTING: ON 3 OCTOBER 2022, UNIDENTIFIED COMMUNAL MILITIA MADE AWAY WITH UNKNOWN NUMBER OF LIVESTOCK FROM LAISAMIS CONSTITUENCY [ CODED AS LAISAMIS, LAISAMIS, MASARBIT).",0,"",1676323318,283,c(37.8, 1.6)
"6492","KEN10403","2022-10-03",2022,2,"Strategic developments","Strategic developments","Other","CIVILIANS (KENYA)","PASTORALISTS (KENYA); SAMBURU ETHNIC GROUP (KENYA); TURKANA ETHNIC GROUP (KENYA)",7,"","",0,70,"",404,"Eastern Africa","Kenya","Samburu","Samburu North","El Barta","Baragoi",1,"Citizen (Kenya)","National","OTHER: AROUND 3 OCTOBER 2022 (AS REPORTED), POLITICAL LEADERS FROM THE SAMBURU AND TURKANA PASTORAL COMMUNITIES CONVENED A PEACE MEETING IN BARAGOI (SAMBURU NORTH, SAMBURU). THE TWO COMMUNITIES VOWED TO EMBRACE PEACEFUL CO-EXISTENCE.",0,"",1676323319,284,c(36.7833, 1.7833)
"6683","KEN10205","2022-09-26",2022,1,"Political violence","Violence against civilians","Attack","SOMALI ETHNIC MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Isiolo","Garbatulla","Garbatulla","Garba Tula",2,"Daily Nation (Kenya); K24","National","ON 26 SEPTEMBER 2022, SUSPECTED SOMALIA MILITIA HIT A HERDER WITH A BLUNT WOODEN STICK TO DEATH, BEFORE MAKING AWAY WITH 250 GOATS BETWEEN GARBATULA AND BENANE [CODED AS GARBA TULA, GARBATULLA, ISIOLO]",1,"",1676323318,293,c(38.52, 0.5333)
"6686","KEN9459","2022-09-26",2022,1,"Strategic developments","Strategic developments","Change to group/activity","GOVERNMENT OF KENYA (2022-)","",1,"","",0,10,"",404,"Eastern Africa","Kenya","Turkana","Turkana East","Katilia","Suguta Valley",2,"Daily Nation (Kenya)","National","SECURITY MEASURES: ON 26 SEPTEMBER 2022, THE GOVERNMENT HAS LAUNCHED MULTI-AGENCY SECURITY OPERATION INCLUDING THE MILITARY TO FLASH OUT POKOT PASTORAL MILITIA IN THE SUGUTA VALLEY (TURKANA EAST, TURKANA), FOLLOWING THE KILLING OF 11 PEOPLE [CODED SEPARATELY]",0,"",1679360217,294,c(36.5167, 2.1667)
"6722","KEN9441","2022-09-25",2022,1,"Political violence","Riots","Mob violence","RIOTERS (KENYA)","VIGILANTE GROUP (KENYA)",5,"CIVILIANS (KENYA)","POLICE FORCES OF KENYA (2022-)",7,57,"Civilian targeting",404,"Eastern Africa","Kenya","Turkana","Turkana East","Katilia","Suguta Valley",1,"Daily Nation (Kenya)","National","ON 25 SEPTEMBER 2022, A MOB ATTEMPTED TO LYNCH TWO MEN HERDING IN SUGUTA MARMAR [CODED AS SUGUTA VALLEY, TURKANA EAST, TURKANA], FOR ALLEGEDLY ENGAGING IN CATTLE THEFT (CODED SEPARATELY). THE SUSPECTS WERE RESCUED BY A POLICE RESERVIST, WHO IN THE PROCESS ACCIDENTALLY DISCHARGED HIS FIREARM AND KILLED ANOTHER MAN.",1,"crowd size=no report",1679360217,296,c(36.5167, 2.1667)
"6767","KEN10196","2022-09-24",2022,1,"Political violence","Violence against civilians","Attack","POKOT ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Turkana","Turkana East","Katilia","Suguta Valley",2,"Capital FM; Daily Nation (Kenya)","National","ON 24 SEPTEMBER 2022, POKOT MILITIA ATTACKED RIET VILLAGE [CODED AS SUGUTA VALLEY, TURKANA EAST, TURKANA]. ONE PERSON WAS KILLED, ANOTHER INJURED AS THE MILITIA MADE AWAY WITH UNKNOWN NUMBER OF LIVESTOCK.",1,"",1676323318,299,c(36.5167, 2.1667)
"6769","KEN10195","2022-09-24",2022,1,"Political violence","Battles","Armed clash","POKOT ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"POLICE FORCES OF KENYA (2022-)","",1,14,"",404,"Eastern Africa","Kenya","Turkana","Turkana East","Katilia","Suguta Valley",2,"Capital FM; Daily Nation (Kenya)","National","ON 24 SEPTEMBER 2022, POKOT MILITIA CLASHED WITH THE POLICE AT NAMARIAT [CODED AS SUGUTA VALLEY, TURKANA EAST, TURKANA]. EIGHT POLICE OFFICERS, A LOCAL CHIEF AND TWO CIVILIANS WERE KILLED, WHILE TWO OTHERS SUSTAINED INJURIES.",11,"",1679360210,300,c(36.5167, 2.1667)
"6880","KEN10218","2022-09-20",2022,2,"Strategic developments","Strategic developments","Looting/property destruction","BORANA ETHNIC MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","",7,47,"",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Maralal","Maralal",2,"K24","National","LOOTING: AROUND 20 SEPTEMBER 2022 (AS REPORTED), ABOUT 500 BORANA MILITIA, RAIDED SEREPARWA HAMLET AREA OF SAMBURU COUNTY [CODED AS MARALAL, SAMBURU CENTRAL, SAMBURU] AND MADE AWAY WITH OVER 1000 LIVESTOCK.",0,"",1676323318,306,c(36.698, 1.0968)
"6919","KEN9749","2022-09-19",2022,1,"Strategic developments","Strategic developments","Other","CIVILIANS (KENYA)","SAMBURU ETHNIC GROUP (KENYA); PASTORALISTS (KENYA)",7,"","",0,70,"",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Maralal","Maralal",2,"Citizen (Kenya)","National","OTHER: ON 19 SEPTEMBER 2022, MORE THAN 2000 ELDERS FROM SAMBURU COMMUNITY'S NINE CLANS HAVE MET AT YAMO AREA WITHIN MARALAL (SAMBURU CENTRAL, SAMBURU), WHERE THEY HAVE JOINTLY AGREED TO IMPOSE A CURSE UPON YOUTHS WHO ENGAGE IN CRIMINAL ACTIVITIES IN THE REGION",0,"",1673291087,307,c(36.698, 1.0968)
"7017","KEN9409","2022-09-15",2022,1,"Political violence","Violence against civilians","Attack","SAMBURU ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Maralal","Maralal",1,"Citizen (Kenya)","National","ON 15 SEPTEMBER 2022, SUSPECTED SAMBURU MILITIA SHOT AND INJURED A MAN AT NKUTOTO IN MARALAL (SAMBURU CENTRAL, SAMBURU), BEFORE MAKING AWAY WITH SEVEN COWS.",0,"",1663620420,313,c(36.698, 1.0968)
"7051","KEN10266","2022-09-15",2022,2,"Political violence","Violence against civilians","Attack","UNIDENTIFIED ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Marsabit","Saku","Marsabit Central","Marsabit",3,"National Police Service-Kenya","Other","AROUND 15 SEPTEMBER 2022 (AS REPORTED), AN UNIDENTIFIED PASTORAL MILITIA ATTACKED HERDERS IN MARSABIT COUNTY (MARSABIT CENTRAL, SAKU, MARSABIT). THE MILITIA MADE AWAY WITH 600 COWS. THERE WERE NO FATALITIES.",0,"",1676323318,314,c(37.983, 2.333)
"7246","KEN9405","2022-09-08",2022,1,"Strategic developments","Strategic developments","Looting/property destruction","SAMBURU ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","",7,47,"",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Maralal","Maralal",1,"Daily Nation (Kenya); Kenya Broadcasting Corporation","National","LOOTING: ON 8 SEPTEMBER 2022, SUSPECTED SAMBURU MILITIA MADE AWAY WITH 300 GOATS IN MARALAL (SAMBURU CENTRAL, SAMBURU).",0,"",1663620420,318,c(36.698, 1.0968)
"7277","KEN9406","2022-09-07",2022,2,"Strategic developments","Strategic developments","Looting/property destruction","UNIDENTIFIED COMMUNAL MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","",7,47,"",404,"Eastern Africa","Kenya","Isiolo","Garbatulla","Garbatulla","Garba Tula",1,"Daily Nation (Kenya)","National","LOOTING: AROUND 7 SEPTEMBER 2022 (WEEK OF), AN UNIDENTIFIED PASTORAL COMMUNAL MILITIA MADE AWAY WITH 900 ANIMALS IN BILGIS, WITHIN GARBA TULA (GARBATULLA, ISIOLO).",0,"",1663620420,320,c(38.52, 0.5333)
"7314","KEN9295","2022-09-06",2022,1,"Political violence","Battles","Armed clash","SAMBURU ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"POLICE FORCES OF KENYA (2013-2022)","",1,14,"",404,"Eastern Africa","Kenya","Isiolo","Merti","Cherab","Merti",1,"Star (Kenya)","National","ON 6 SEPTEMBER 2022, POLICE OFFICERS CLASHED WITH A GROUP OF 20 SUSPECTED SAMBURU MILITIA IN MERTI (MERTI, ISIOLO). A HERDER AND ONE OF THE GUNMEN SUSTAINED GUNSHOT WOUNDS AS POLICE RECOVERED 398 OF 400 STOLEN ANIMALS.",0,"",1679360217,321,c(38.6667, 1.0667)
"7407","KEN9292","2022-09-02",2022,1,"Demonstrations","Protests","Peaceful protest","PROTESTERS (KENYA)","BORANA ETHNIC GROUP (KENYA); GABRA ETHNIC GROUP (KENYA); PASTORALISTS (KENYA)",6,"","",0,60,"",404,"Eastern Africa","Kenya","Marsabit","North Horr","Maikona","Turbi",2,"Daily Nation (Kenya)","National","ON 2 SEPTEMBER 2022, MEMBERS OF THE BORANA AND GARBRA DEMONSTRATED BY WEARING WHITE OUTFITS AND CHANTING PEACE MESSAGES AS THEY MARCHED ALONG THE MOYALE-MARSABIT HIGHWAY [CODED AS TURBI, NORTH HORR, MARSABIT], IN SUPPORT OF THE PEACEFUL COEXISTENCE BETWEEN THE TWO COMMUNITIES.",0,"crowd size=no report",1663026145,324,c(38.3655, 3.3009)
"7518","KEN9332","2022-08-30",2022,2,"Strategic developments","Strategic developments","Other","CIVILIANS (KENYA)","SAMBURU ETHNIC GROUP (KENYA); PASTORALISTS (KENYA)",7,"CIVILIANS (KENYA)","TURKANA ETHNIC GROUP (KENYA)",7,77,"",404,"Eastern Africa","Kenya","Samburu","Samburu North","El Barta","Baragoi",1,"Kenya Standard; Twitter","New media-National","OTHER: AROUND 30 AUGUST 2022 (AS REPORTED), SAMBURU AND TURKANA PASTORAL COMMUNITIES MET IN BARAGOI (SAMBURU NORTH, SAMBURU) AND AGREED TO PROMOTE PEACE IN THE REGION.",0,"",1663026144,326,c(36.7833, 1.7833)
"7603","KEN9325","2022-08-28",2022,1,"Political violence","Riots","Mob violence","RIOTERS (KENYA)","PASTORALISTS (KENYA)",5,"CIVILIANS (KENYA)","FARMERS (KENYA)",7,57,"Civilian targeting",404,"Eastern Africa","Kenya","Lamu","Lamu West","Witu","Witu",1,"Daily Nation (Kenya)","National","ON 28 AUGUST 2022, A GROUP OF HERDERS ARMED WITH KNIVES AND CLUBS ATTACKED FARMERS IN WITU (LAMU WEST, LAMU) FOR ALLEGEDLY REFUSING TO ALLOW THEM TO GRAZE THEIR HERD ON THEIR FARM. A WOMAN AND HER SON WERE INJURED DURING THE INCIDENT.",0,"crowd size=no report",1663026145,328,c(40.4382, -2.3889)
"8224","KEN9291","2022-08-07",2022,2,"Political violence","Battles","Armed clash","UNIDENTIFIED COMMUNAL MILITIA (KENYA)","",4,"PRIVATE SECURITY FORCES (KENYA)","",8,48,"",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Maralal","Maralal",1,"Twitter; K24","New media-National","AROUND 7 AUGUST 2022 (AS REPORTED), UNIDENTIFIED COMMUNAL MILITIA SHOT AND KILLED A GUARD AT MOI GIRLS SCHOOL SAMBURU IN MARALAL (SAMBURU CENTRAL, SAMBURU), BEFORE MAKING AWAY WITH 11 COWS.",0,"",1660592736,352,c(36.698, 1.0968)
"8234","KEN9290","2022-08-07",2022,1,"Political violence","Battles","Armed clash","BORANA ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"DEGODIA ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,44,"",404,"Eastern Africa","Kenya","Isiolo","Merti","Chari","Dogo Gicha",1,"Daily Nation (Kenya)","National","ON 7 AUGUST 2022, SUSPECTED BORANA AND DEGODIA HERDERS CLASHED WITH EACH OTHER AT THE DOGO GICHA GRAZING FIELD (MERTI, ISIOLO). FIVE PEOPLE WERE KILLED, AND FOUR OTHERS WERE INJURED DURING THE INCIDENT.",5,"",1660592736,353,c(38.4838, 1.2181)
